% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 44.37 s, time offset 22.59 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2024-11-04 T 10:17:53 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-4.477452144000e+01, -1.831949e-02, 1.893014e+00
-4.473102086400e+01, -1.709819e-02, 1.893014e+00
-4.468752028800e+01, -1.831949e-02, 1.893014e+00
-4.464401971200e+01, -1.831949e-02, 1.893014e+00
-4.460051913600e+01, -1.709819e-02, 1.893014e+00
-4.455701856000e+01, -1.709819e-02, 1.886908e+00
-4.451351798400e+01, -1.709819e-02, 1.893014e+00
-4.447001740800e+01, -1.831949e-02, 1.893014e+00
-4.442651683200e+01, -1.831949e-02, 1.893014e+00
-4.438301625600e+01, -1.709819e-02, 1.893014e+00
-4.433951568000e+01, -1.709819e-02, 1.899121e+00
-4.429601510400e+01, -1.709819e-02, 1.886908e+00
-4.425251452800e+01, -1.709819e-02, 1.917440e+00
-4.420901395200e+01, -1.831949e-02, 1.893014e+00
-4.416551337600e+01, -1.709819e-02, 1.899121e+00
-4.412201280000e+01, -1.831949e-02, 1.899121e+00
-4.407851222400e+01, -1.831949e-02, 1.893014e+00
-4.403501164800e+01, -1.709819e-02, 1.893014e+00
-4.399151107200e+01, -1.831949e-02, 1.893014e+00
-4.394801049600e+01, -1.709819e-02, 1.893014e+00
-4.390450992000e+01, -1.709819e-02, 1.893014e+00
-4.386100934400e+01, -1.831949e-02, 1.893014e+00
-4.381750876800e+01, -1.831949e-02, 1.886908e+00
-4.377400819200e+01, -1.709819e-02, 1.880801e+00
-4.373050761600e+01, -1.831949e-02, 1.893014e+00
-4.368700704000e+01, -1.709819e-02, 1.886908e+00
-4.364350646400e+01, -1.831949e-02, 1.862482e+00
-4.360000588800e+01, -1.709819e-02, 1.893014e+00
-4.355650531200e+01, -1.831949e-02, 1.893014e+00
-4.351300473600e+01, -1.831949e-02, 1.893014e+00
-4.346950416000e+01, -1.709819e-02, 1.893014e+00
-4.342600358400e+01, -1.709819e-02, 1.886908e+00
-4.338250300800e+01, -1.709819e-02, 1.899121e+00
-4.333900243200e+01, -1.709819e-02, 1.893014e+00
-4.329550185600e+01, -1.709819e-02, 1.893014e+00
-4.325200128000e+01, -1.954079e-02, 1.886908e+00
-4.320850070400e+01, -1.709819e-02, 1.886908e+00
-4.316500012800e+01, -1.831949e-02, 1.880801e+00
-4.312149955200e+01, -1.709819e-02, 1.886908e+00
-4.307799897600e+01, -1.709819e-02, 1.899121e+00
-4.303449840000e+01, -1.709819e-02, 1.893014e+00
-4.299099782400e+01, -1.709819e-02, 1.893014e+00
-4.294749724800e+01, -1.709819e-02, 1.893014e+00
-4.290399667200e+01, -1.831949e-02, 1.893014e+00
-4.286049609600e+01, -1.709819e-02, 1.880801e+00
-4.281699552000e+01, -1.831949e-02, 1.886908e+00
-4.277349494400e+01, -1.709819e-02, 1.893014e+00
-4.272999436800e+01, -1.709819e-02, 1.886908e+00
-4.268649379200e+01, -1.831949e-02, 1.893014e+00
-4.264299321600e+01, -1.709819e-02, 1.886908e+00
-4.259949264000e+01, -1.709819e-02, 1.862482e+00
-4.255599206400e+01, -1.709819e-02, 1.844162e+00
-4.251249148800e+01, -1.587689e-02, 1.819736e+00
-4.246899091200e+01, -1.709819e-02, 1.807523e+00
-4.242549033600e+01, -1.709819e-02, 1.776991e+00
-4.238198976000e+01, -1.709819e-02, 1.770884e+00
-4.233848918400e+01, -1.587689e-02, 1.740352e+00
-4.229498860800e+01, -2.076209e-02, 1.722032e+00
-4.225148803200e+01, -1.831949e-02, 1.703713e+00
-4.220798745600e+01, -1.709819e-02, 1.685393e+00
-4.216448688000e+01, -1.709819e-02, 1.660967e+00
-4.212098630400e+01, -1.709819e-02, 1.636541e+00
-4.207748572800e+01, -1.709819e-02, 1.624328e+00
-4.203398515200e+01, -1.587689e-02, 1.606009e+00
-4.199048457600e+01, -1.587689e-02, 1.575476e+00
-4.194698400000e+01, -1.587689e-02, 1.563263e+00
-4.190348342400e+01, -1.587689e-02, 1.544944e+00
-4.185998284800e+01, -1.587689e-02, 1.526624e+00
-4.181648227200e+01, -1.465559e-02, 1.508305e+00
-4.177298169600e+01, -1.709819e-02, 1.483879e+00
-4.172948112000e+01, -1.587689e-02, 1.459453e+00
-4.168598054400e+01, -1.587689e-02, 1.447240e+00
-4.164247996800e+01, -1.587689e-02, 1.428920e+00
-4.159897939200e+01, -1.465559e-02, 1.410601e+00
-4.155547881600e+01, -1.709819e-02, 1.380068e+00
-4.151197824000e+01, -1.465559e-02, 1.367855e+00
-4.146847766400e+01, -1.465559e-02, 1.343429e+00
-4.142497708800e+01, -1.587689e-02, 1.282364e+00
-4.138147651200e+01, -1.465559e-02, 1.312897e+00
-4.133797593600e+01, -1.465559e-02, 1.288471e+00
-4.129447536000e+01, -1.465559e-02, 1.270151e+00
-4.125097478400e+01, -1.587689e-02, 1.245725e+00
-4.120747420800e+01, -1.465559e-02, 1.227406e+00
-4.116397363200e+01, -1.465559e-02, 1.202980e+00
-4.112047305600e+01, -1.465559e-02, 1.178554e+00
-4.107697248000e+01, -1.587689e-02, 1.160234e+00
-4.103347190400e+01, -1.465559e-02, 1.141915e+00
-4.098997132800e+01, -1.465559e-02, 1.123595e+00
-4.094647075200e+01, -1.465559e-02, 1.099170e+00
-4.090297017600e+01, -1.465559e-02, 1.105276e+00
-4.085946960000e+01, -1.221300e-02, 1.068637e+00
-4.081596902400e+01, -1.343429e-02, 1.044211e+00
-4.077246844800e+01, -1.221300e-02, 1.031998e+00
-4.072896787200e+01, -1.343429e-02, 1.001466e+00
-4.068546729600e+01, -1.343429e-02, 9.831461e-01
-4.064196672000e+01, -1.343429e-02, 9.648266e-01
-4.059846614400e+01, -1.221300e-02, 9.404006e-01
-4.055496556800e+01, -1.343429e-02, 9.342941e-01
-4.051146499200e+01, -1.221300e-02, 9.037616e-01
-4.046796441600e+01, -1.221300e-02, 8.426966e-01
